date,energy(MU)
1/1/2020,12.77
1/2/2020,13.1
1/3/2020,13.36
1/4/2020,12.86
1/5/2020,12.82
1/6/2020,13.18
1/7/2020,13.46
1/8/2020,13.22
1/9/2020,13.49
1/10/2020,13.17
1/11/2020,12.68
1/12/2020,12.27
1/13/2020,12.78
1/14/2020,12.67
1/15/2020,12.83
1/16/2020,13.02
1/17/2020,12.97
1/18/2020,13.61
1/19/2020,12.68
1/20/2020,13.39
1/21/2020,13.66
1/22/2020,12.53
1/23/2020,12.76
1/24/2020,13.39
1/25/2020,13.73
1/26/2020,13.32
1/27/2020,12.86
1/28/2020,12.97
1/29/2020,12.99
1/30/2020,
1/31/2020,13.89
2/1/2020,13.27
2/2/2020,12.61
2/3/2020,15.89
2/4/2020,15.3
2/5/2020,14.8
2/6/2020,14.03
2/7/2020,14.25
2/8/2020,11.82
2/9/2020,12.62
2/10/2020,12.58
2/11/2020,12.66
2/12/2020,12.94
2/13/2020,13.29
2/14/2020,13.79
2/15/2020,13.46
2/16/2020,12.67
2/17/2020,12.81
2/18/2020,13.17
2/19/2020,12.98
2/20/2020,12.84
2/21/2020,12.76
2/22/2020,12.76
2/23/2020,12.6
2/24/2020,12.72
2/25/2020,12.67
2/26/2020,12.9
2/27/2020,
2/28/2020,12.53
2/29/2020,12.6
3/1/2020,12.5
3/2/2020,12.84
3/3/2020,13.12
3/4/2020,13.1
3/5/2020,12.61
3/6/2020,12.76
3/7/2020,12.81
3/8/2020,12.67
3/9/2020,12.46
3/10/2020,12.41
3/11/2020,12.75
3/12/2020,12.75
3/13/2020,12.87
3/14/2020,12.68
3/15/2020,12.49
3/16/2020,12.7
3/17/2020,12.55
3/18/2020,12.92
3/19/2020,13.14
3/20/2020,13.17
3/21/2020,12.41
3/22/2020,12.46
3/23/2020,12.64
3/24/2020,12.22
3/25/2020,11.04
3/26/2020,5.89
3/27/2020,5.93
3/28/2020,5.93
3/29/2020,5.97
3/30/2020,5.86
3/31/2020,5.94
4/1/2020,5.98
4/2/2020,5.97
4/3/2020,5.99
4/4/2020,5.98
4/5/2020,5.98
4/6/2020,5.98
4/7/2020,5.95
4/8/2020,5.82
4/9/2020,5.89
4/10/2020,5.9
4/11/2020,6
4/12/2020,5.94
4/13/2020,5.97
4/14/2020,5.9
4/15/2020,5.87
4/16/2020,5.8
4/17/2020,5.94
4/18/2020,5.93
4/19/2020,5.78
4/20/2020,5.85
4/21/2020,5.84
4/22/2020,6.19
4/23/2020,5.89
4/24/2020,5.57
4/25/2020,5.86
4/26/2020,5.88
4/27/2020,5.86
4/28/2020,5.89
4/29/2020,5.94
4/30/2020,5.81
5/1/2020,6.01
5/2/2020,5.87
5/3/2020,5.91
5/4/2020,5.95
5/5/2020,5.84
5/6/2020,5.85
5/7/2020,5.94
5/8/2020,6.76
5/9/2020,7.17
5/10/2020,7.41
5/11/2020,6.1
5/12/2020,6.11
5/13/2020,6.08
5/14/2020,5.98
5/15/2020,5.98
5/16/2020,6.02
5/17/2020,6.01
5/18/2020,6
5/19/2020,6.04
5/20/2020,6.05
5/21/2020,6.17
5/22/2020,6.08
5/23/2020,6.28
5/24/2020,5.94
5/25/2020,6.25
5/26/2020,6.04
5/27/2020,5.75
5/28/2020,5.81
5/29/2020,5.96
5/30/2020,5.82
5/31/2020,6.05
6/1/2020,5.82
6/2/2020,5.88
6/3/2020,5.91
6/4/2020,5.92
6/5/2020,5.6
6/6/2020,5.85
6/7/2020,5.93
6/8/2020,6.32
6/9/2020,7
6/10/2020,6.16
6/11/2020,5.95
6/12/2020,6.05
6/13/2020,6.25
6/14/2020,5.93
6/15/2020,6.04
6/16/2020,6.06
6/17/2020,6.08
6/18/2020,5.95
6/19/2020,5.88
6/20/2020,5.92
6/21/2020,5.95
6/22/2020,6.14
6/23/2020,6.28
6/24/2020,6.32
6/25/2020,6.04
6/26/2020,6.12
6/27/2020,6.07
6/28/2020,6
6/29/2020,6.21
6/30/2020,6.43
7/1/2020,7.42
7/2/2020,12.76
7/3/2020,11.84
7/4/2020,11.95
7/5/2020,8.7
7/6/2020,4.7
7/7/2020,5.85
7/8/2020,5.96
7/9/2020,5.93
7/10/2020,6.09
7/11/2020,6.13
7/12/2020,6.08
7/13/2020,6.59
7/14/2020,6.24
7/15/2020,7.74
7/16/2020,12.51
7/17/2020,14.54
7/18/2020,14.48
7/19/2020,12.99
7/20/2020,12.66
7/21/2020,12.64
7/22/2020,6.4
7/23/2020,6.15
7/24/2020,6.37
7/25/2020,6.34
7/26/2020,6.1
7/27/2020,8.77
7/28/2020,13.64
7/29/2020,12.64
7/30/2020,12.66
7/31/2020,6.54
8/1/2020,
8/2/2020,
8/3/2020,6.22
8/4/2020,6.14
8/5/2020,5.81
8/6/2020,6.26
8/7/2020,7.48
8/8/2020,6.78
8/9/2020,6.17
8/10/2020,6.22
8/11/2020,6.05
8/12/2020,6.19
8/13/2020,6.19
8/14/2020,6.25
8/15/2020,3.24
8/16/2020,5.91
8/17/2020,6.33
8/18/2020,6.24
8/19/2020,6.18
8/20/2020,5.95
8/21/2020,6.29
8/22/2020,6.13
8/23/2020,6.17
