date,energy(MU)
1/1/2020,19.59
1/2/2020,19.16
1/3/2020,20.22
1/4/2020,19.68
1/5/2020,18.75
1/6/2020,19.86
1/7/2020,20.21
1/8/2020,18.77
1/9/2020,20.17
1/10/2020,20.96
1/11/2020,19.63
1/12/2020,17.89
1/13/2020,18.97
1/14/2020,18.04
1/15/2020,20.12
1/16/2020,22.98
1/17/2020,23.70
1/18/2020,24.02
1/19/2020,22.51
1/20/2020,20.88
1/21/2020,20.43
1/22/2020,20.00
1/23/2020,20.08
1/24/2020,21.12
1/25/2020,20.88
1/26/2020,20.34
1/27/2020,19.83
1/28/2020,17.86
1/29/2020,19.25
1/30/2020,
1/31/2020,21.42
2/1/2020,16.89
2/2/2020,17.89
2/3/2020,19.75
2/4/2020,21.63
2/5/2020,23.62
2/6/2020,21.98
2/7/2020,22.63
2/8/2020,21.61
2/9/2020,20.06
2/10/2020,20.84
2/11/2020,21.14
2/12/2020,20.89
2/13/2020,21.69
2/14/2020,23.56
2/15/2020,22.90
2/16/2020,20.44
2/17/2020,23.27
2/18/2020,23.13
2/19/2020,23.32
2/20/2020,20.24
2/21/2020,17.84
2/22/2020,18.27
2/23/2020,17.83
2/24/2020,21.42
2/25/2020,22.82
2/26/2020,23.10
2/27/2020,23.53
2/28/2020,23.53
2/29/2020,20.88
3/1/2020,14.77
3/2/2020,12.12
3/3/2020,18.50
3/4/2020,21.21
3/5/2020,19.10
3/6/2020,18.09
3/7/2020,19.79
3/8/2020,18.28
3/9/2020,14.11
3/10/2020,
3/11/2020,
3/12/2020,
3/13/2020,
3/14/2020,
3/15/2020,
3/16/2020,
3/17/2020,
3/18/2020,8.35
3/19/2020,11.43
3/20/2020,11.43
3/21/2020,9.75
3/22/2020,9.52
3/23/2020,5.54
3/24/2020,
3/25/2020,
3/26/2020,
3/27/2020,
3/28/2020,
3/29/2020,
3/30/2020,
3/31/2020,
4/1/2020,
4/2/2020,
4/3/2020,
4/4/2020,
4/5/2020,
4/6/2020,
4/7/2020,
4/8/2020,
4/9/2020,
4/10/2020,
4/11/2020,
4/12/2020,
4/13/2020,
4/14/2020,
4/15/2020,
4/16/2020,
4/17/2020,
4/18/2020,
4/19/2020,
4/20/2020,
4/21/2020,
4/22/2020,
4/23/2020,
4/24/2020,
4/25/2020,
4/26/2020,
4/27/2020,
4/28/2020,
4/29/2020,
4/30/2020,
5/1/2020,
5/2/2020,
5/3/2020,
5/4/2020,
5/5/2020,
5/6/2020,
5/7/2020,
5/8/2020,
5/9/2020,
5/10/2020,
5/11/2020,
5/12/2020,
5/13/2020,
5/14/2020,
5/15/2020,
5/16/2020,
5/17/2020,
5/18/2020,
5/19/2020,
5/20/2020,
5/21/2020,
5/22/2020,
5/23/2020,
5/24/2020,
5/25/2020,
5/26/2020,2.00
5/27/2020,
5/28/2020,
5/29/2020,
5/30/2020,
5/31/2020,
6/1/2020,
6/2/2020,
6/3/2020,
6/4/2020,
6/5/2020,
6/6/2020,
6/7/2020,
6/8/2020,
6/9/2020,
6/10/2020,0.13
6/11/2020,
6/12/2020,
6/13/2020,
6/14/2020,0.92
6/15/2020,
6/16/2020,
6/17/2020,
6/18/2020,
6/19/2020,0.83
6/20/2020,
6/21/2020,0.96
6/22/2020,
6/23/2020,0.88
6/24/2020,0.92
6/25/2020,
6/26/2020,0.83
6/27/2020,
6/28/2020,
6/29/2020,0.04
6/30/2020,
7/1/2020,0.50
7/2/2020,
7/3/2020,
7/4/2020,
7/5/2020,0.96
7/6/2020,
7/7/2020,
7/8/2020,0.00
7/9/2020,
7/10/2020,0.88
7/11/2020,
7/12/2020,
7/13/2020,
7/14/2020,
7/15/2020,0.83
7/16/2020,
7/17/2020,0.46
7/18/2020,
7/19/2020,0.04
7/20/2020,
7/21/2020,
7/22/2020,0.13
7/23/2020,
7/24/2020,
7/25/2020,
7/26/2020,
7/27/2020,
7/28/2020,
7/29/2020,
7/30/2020,
7/31/2020,
8/1/2020,
8/2/2020,
8/3/2020,
8/4/2020,
8/5/2020,
8/6/2020,
8/7/2020,
8/8/2020,
8/9/2020,
8/10/2020,
8/11/2020,
8/12/2020,
8/13/2020,
8/14/2020,
8/15/2020,
8/16/2020,
8/17/2020,
8/18/2020,
8/19/2020,
8/20/2020,
8/21/2020,
8/22/2020,
8/23/2020,
